Location,Court,Size,Floor,A_S,Price_per_size
3,28,600,3,1,8267
3,28,600,1,2,7770
3,28,600,1,1,7905
3,28,600,1,1,8327
3,34,400,2,1,5723
3,40,500,1,1,3019
3,40,500,2,1,9393
3,40,600,1,1,9544
29,1,600,2,1,11419
29,1,600,3,1,12601
29,144,500,1,1,9290
29,144,500,1,1,9313
29,144,700,2,1,8313
29,146,600,1,1,11792
1,4,500,3,1,12750
1,4,600,2,1,9984
1,4,600,2,1,11372
1,4,600,3,1,11507
1,87,300,2,1,6689
1,87,400,2,1,8136
1,115,600,1,1,9851
32,94,500,1,1,8364
11,83,500,1,1,10958
2,127,500,2,1,9025
5,109,600,1,1,9838
5,109,600,2,1,11254
5,109,600,2,2,9018
5,109,600,2,1,10836
6,102,500,1,1,8840
6,135,600,1,1,6363
7,30,600,1,1,9048
7,36,500,1,1,10021
7,36,600,2,1,9186
7,93,500,1,1,9806
13,147,400,2,1,6863
13,147,500,2,1,5689
40,141,500,2,1,9465
40,141,700,1,1,8798
43,57,600,1,1,11957
44,32,200,1,1,5613
44,32,400,1,1,7526
44,32,500,2,1,7261
44,32,500,3,1,7779
44,32,500,1,1,7356
44,32,500,2,1,7169
44,74,500,3,1,11107
44,74,600,2,1,10647
44,74,600,3,1,10986
44,91,500,1,1,7103
15,160,400,3,1,10864
15,160,600,2,1,10808
15,160,600,3,1,11441
18,51,500,3,1,8782
18,86,700,1,1,9690
25,45,500,3,1,8287
25,45,700,3,1,8396
25,45,700,2,1,7853
45,75,700,1,1,7729
21,6,500,2,1,12193
21,6,600,1,1,10912
21,6,600,2,1,11114
21,6,600,1,1,11993
21,6,600,2,1,11993
21,47,700,2,1,9818
9,8,600,1,1,6302
9,8,600,3,1,6934
9,8,700,1,1,6152
9,8,700,2,1,7152
9,73,500,2,1,7106
9,73,500,1,1,7259
9,73,600,3,1,6782
9,73,600,2,1,6741
9,73,600,1,1,6606
9,155,600,3,1,5105
9,155,600,1,1,6182
9,158,500,1,1,6675
33,22,500,1,1,5863
33,27,500,2,1,6125
33,119,500,2,1,5367
36,123,700,1,1,5999
36,123,700,3,1,6122
36,124,700,2,1,6076
36,124,700,2,1,6614
36,124,700,3,1,6737
36,124,700,2,1,6737
36,130,700,1,1,6660
36,130,700,2,1,7492
36,130,700,1,1,6583
36,130,700,2,1,7275
36,132,600,3,1,5645
36,132,700,2,1,5894
41,35,600,1,1,6841
41,66,400,2,1,3633
41,88,300,3,1,3526
41,88,500,1,1,4420
41,88,500,1,1,4213
41,88,600,3,1,4945
41,92,500,1,1,6991
41,92,500,1,1,7409
41,92,500,2,1,6854
41,92,600,1,1,6959
41,113,300,1,1,4016
41,113,400,1,1,4146
41,113,500,2,1,2553
41,114,700,1,1,7158
41,125,600,2,1,4945
41,171,600,2,1,6466
14,77,600,2,1,9739
14,163,600,1,1,7088
14,163,600,2,1,8682
16,84,500,1,1,10583
17,164,500,1,1,8925
35,80,700,2,1,9926
39,10,500,1,1,5412
39,10,500,3,1,7126
39,10,500,3,1,6684
39,10,600,1,1,6181
20,41,500,1,1,4521
20,41,500,2,1,5637
20,41,500,3,1,6156
20,41,500,2,1,6448
20,62,500,2,1,9426
20,62,600,3,1,9045
20,62,600,3,1,9027
20,62,600,1,1,8698
20,63,600,2,1,8027
20,64,700,2,1,9690
20,110,600,2,1,7179
26,5,600,1,1,8546
26,31,400,3,1,7611
26,97,500,1,1,8294
26,97,700,1,1,7987
26,166,600,1,1,9173
26,166,600,2,1,9929
26,166,600,3,1,10215
26,166,700,1,1,9459
26,166,700,2,1,9967
26,166,700,2,1,10490
26,166,700,2,1,10705
28,42,600,2,1,7153
28,108,500,2,1,5187
28,108,500,2,1,7146
38,2,500,1,1,9548
38,2,500,2,1,10109
38,2,500,2,1,10250
38,2,500,3,1,10632
38,2,600,1,1,10935
38,3,600,1,1,8361
38,3,600,1,1,8615
38,3,600,2,1,9088
38,3,600,2,1,9121
38,3,600,1,2,9290
38,3,600,3,1,9777
38,17,600,1,1,8361
38,17,600,1,1,8638
38,17,700,3,1,9967
38,81,700,2,1,8133
38,104,500,1,1,6738
38,105,500,2,1,7714
38,133,500,2,1,7334
38,133,600,2,1,8838
38,137,400,1,1,4274
42,168,600,1,1,6342
42,168,600,2,1,7784
3,7,500,3,1,8826
3,28,500,2,1,8464
3,28,600,1,1,7432
3,40,600,2,1,9594
24,76,600,1,1,11486
29,1,500,1,1,10800
29,1,500,1,1,12077
29,145,500,2,1,9767
29,149,700,1,1,12305
1,4,500,2,1,12490
1,87,400,1,1,6640
1,87,400,2,1,7873
1,87,400,2,1,8136
1,115,600,1,1,10021
32,94,500,1,1,8364
2,127,500,1,1,8015
5,109,500,2,1,10322
7,36,500,3,1,11054
13,147,600,1,1,7138
40,141,500,3,1,9539
